title	summary	score	published	tickers	open	close	percent	sentiment	fin	fin2
Федун уйдет с поста вице-президента ЛУКОЙЛа на пенсию	Леонид Федун покинул должность вице-президента ЛУКОЙЛа, сообщили в пресс-службе компании.	-0.4666666666666666	2022-06-27	LKOH	4100	4056	-1.0731707317073171	[-0.23238781]	-3.599493660979501	-0.5680914219620865
Федун покинул пост вице-президента ЛУКОЙЛа	Леонид Федун покинул должность вице-президента ЛУКОЙЛа, сообщили в пресс-службе компании.	-0.19999999999999996	2022-06-27	LKOH	4100	4076	-0.5853658536585366	[-0.50224916]	-0.14901612751682336	-4.059905888797988
ФАС разрешила производителю сыра купить «Вимм-Билль-Данн» у PepsiCo	Федеральная антимонопольная служба (ФАС) одобрила сделку по покупке производителем сыра «Мультипро» компании «Вимм-Билль-Данн Напитки», сообщает в Telegram-канале ведомства.	0.375	2022-05-04	PEP	171.02	171.32	0.17541807975674362	[0.375]	7.2910760540120725	7.29107604315628
ФАС разрешила ЛУКОЙЛу купить «дочку» Shell	Антимонопольная служба одобрила сделку о приобретении ЛУКОЙЛом 99,9% ООО «Шелл нефть», но с условиями: от ЛУКОЙЛа требуют регулярно продавать нефтепродукты на бирже и не приобретать топливо в основную сессию торгов	0.8181818181818181	2022-05-19	LKOH	4483.5	4509.5	0.5799040927846549	[0.81818182]	13.025534454795213	13.025534497344545
"ФАС продлила выданное ранее ""Магниту"" предписание о нулевых наценках на ряд товаров"	"ФАС России продлила ранее выданное АО ""Тандер"" (торговая сеть ""Магнит"") предписание еще на год, сообщается на сайте ведомства.
Речь идет о предписании, которое ФАС России выдала АО ""Тандер"" в июле 2021 года при удовлетворении ходатайства о приобретении торговой сети ""Дикси"" и магазинов ""Мегамарт"", которое предусматривает ряд строгих ограничений и требований.
Благодаря продлению предписания ретейлеры продолжат соблюдать добровольно взятые на себя обязательства по установлению нулевых торговых наценок на отдельные позиции ряда товаров ""потребительской корзины"" и будут далее поддерживать социально незащищенные слои населения посредством реализации программы лояльности для пенсионеров, их родственников и лиц, ухаживающих за ними.
"	0.22580645161290325	2022-07-27	MGNT	4521	4630	2.41097102410971	[0.22580645]	5.360617353334868	5.360617369418659
ФАС предложила обязать «Газпром» продавать 10% газа на бирже	ФАС разработала нормативы продажи газа на бирже для «Газпрома» и независимых производителей, следует из сообщения службы.	0.19999999999999996	2022-06-22	GAZP	295.8	300.1	1.4536849222447639	[0.33025771]	5.02670017267719	6.712142539966316
ФАС обвинила Apple в нарушении антимонопольного законодательства	Дело против компании открыли еще осенью прошлого года. Регулятор пришел к выводу, что Apple злоупотребляет своим положением на рынке, не позволяя оплачивать покупки в приложениях за пределами App Store	-0.6000000000000001	2022-07-19	AAPL	150.21	148.38	-1.2182943878570085	[-0.6]	-5.324732427710841	-5.324732472298423
Умер генеральный директор Xerox	Вице-председатель и главный исполнительный директор американской корпорации Xerox Holdings Джон Висентин умер 28 июня от последствий болезни, говорится в заявлении на сайте компании.	-0.853658536585366	2022-06-30	XRX	14.88	14.55	-2.2177419354838714	[-0.85365854]	-8.606893983931435	-8.606894005576581
"Украинский оператор ГТС утверждает, что ""Газпром"" увеличил давление в пограничном участке"	"МОСКВА, 26 июл - РИА Новости. Оператор газотранспортной системы (ОГТС) Украины утверждает, что ""Газпром"" без предупреждения увеличил давление в пограничном участке украинской газотранспортной системы, сообщает издание ""Страна.ua"".
Отмечается, что специалисты оператора якобы обнаружили резкий рост давления на участке газопровода ""Уренгой-Помары-Ужгород"" вблизи границы с Россией.
""Изменение давления произошло без предупреждения со стороны ПАО ""Газпром"", - говорится в заявлении украинского оператора.
Как отмечает издание, украинская сторона проинформировала ""Газпром"" о том, что несвоевременное сообщение информации о смене режимов может привести к внештатным ситуациям.
"	0.19047619047619047	2022-07-26	GAZP	192	193.95	1.0156249999999942	[0.27284846]	4.90346883219638	5.969307615077237
Украина пригрозила исками JPMorgan и HSBC из-за российской нефти	Власти Украины призвали руководство американских и европейских банков разорвать связи с компаниями, которые торгуют российской нефтью, сообщает Financial Times.	-0.6153846153846154	2022-07-16	JPM	115.69	112.76	-2.532630305125761	[-0.61538462]	-5.5237984392567645	-5.523798437387158
Убыток Mastercard из-за ухода из России во II квартале составил $26 млн		-0.43999999999999995	2022-07-28	MA	352.17	346.77	-1.5333503705596825	[-0.44]	-3.254445907633232	-3.2544458787158996
Убитую семью экс-вице-президента Газпромбанка нашел водитель	Первым на место гибели семьи бывшего топ-менеджера Газпромбанка Владислава Аваева приехал его личный водитель. Следственный комитет расследует дело об убийстве малолетнего ребенка и беременной женщины.	-0.7931034482758621	2022-04-19	GAZP	220.72	216.9	-1.7306995288147848	[-0.79310345]	-7.82335408987347	-7.823354056749591
Убитую семью экс-вице-президента «Газпромбанка» нашел водитель	Первым на место гибели семьи бывшего топ-менеджера Газпромбанка Владислава Аваева приехал его личный водитель. Следственный комитет расследует дело об убийстве малолетнего ребенка и беременной женщины.	-0.8571428571428572	2022-04-19	GAZP	220.72	215.9	-2.1837622326930015	[-0.79310345]	-8.65197862069271	-7.823354056749591
УГМК выкупила долги Petropavlovsk у Газпромбанка	УГМК Искандера Махмудова и Андрея Бокарева получила от Газпромбанка права требования к золотодобывающей компании Petropavlovsk. Ранее УГМК претендовала на покупку GV Gold, но эта сделка приостановлена	0.4285714285714286	2022-04-20	GAZP	216.9	220.72	1.7611802674043306	[0.42857143]	7.984252344216629	7.984252298044261
У погибшего бывшего вице-президента Газпромбанка нашли 13 единиц оружия	Бывший вице-президент Газпромбанка Владислав Аваев, которого накануне нашли мертвым в квартире на Университетском проспекте в Москве, владел 13 единицами гражданского оружия, «в том числе нарезного, гладкоствольного и ограниченного поражения», сообщает ТАСС со ссылкой на пресс-службу Росгвардии.	-0.7435897435897436	2022-04-19	GAZP	220.72	217.3	-1.5494744472634956	[-0.74358974]	-7.182681868806129	-7.182681871091346
Тяготы и лишения контрактной тяжбы // «Нафтогаз Украины» собирается судиться с «Газпромом»	Украина собирается начать новое арбитражное разбирательство с «Газпромом» по контракту на транзит газа. «Нафтогаз» не устраивает, что «Газпром» не полностью оплатил в мае законтрактованные мощности, хотя до этого украинская компания сама лишила монополию возможности использовать часть из них. По словам главы «Нафтогаза» Юрия Витренко, будут также возобновлены разбирательства по иску к «Газпрому» на $12 млрд, которые «Нафтогаз» обязался прекратить в рамках договоренностей конца 2019 года. Эксперты отмечают, что спор политизирован, его рассмотрение в арбитраже может затянуться не на один год, а итоговое решение может быть невозможно исполнить.	-0.8181818181818181	2022-06-22	GAZP	300.1	295.8	-1.4328557147617498	[-0.81818182]	-8.147850409634849	-8.147850406364494
Турбина набирает документооборот // У «Газпрома» возникли вопросы к канадской лицензии	По данным “Ъ”, Siemens Energy 24 июля передала «Газпрому» экспортную лицензию Канады, позволяющую ремонтировать и транспортировать газовые турбины для «Северного потока». Теперь, чтобы Siemens могла ввезти турбину в Россию, «Газпром» должен изменить базис доставки машины с канадского Монреаля на конечный пункт в РФ. Из-за бумажных проволочек турбина уже пропустила паром, которым должна была уйти из Германии в Хельсинки 23 июля. Если стороны успешно обменяются документами, транспортировка машины может произойти в ближайшие несколько дней. Но источники “Ъ” сомневаются, что доставка турбины приведет к росту прокачки по «Северному потоку»: еще несколько машин нуждаются в ремонте.	-0.1578947368421053	2022-07-24	GAZP	193.02	192	-0.5284426484302197	[-0.15789474]	0.39579611460886044	0.3957960919572425
Турбина забуксовала в бумагах // У «Газпрома» возникли вопросы к канадской лицензии	По данным “Ъ”, Siemens Energy 24 июля передала «Газпрому» экспортную лицензию Канады, позволяющую ремонтировать и транспортировать газовые турбины для «Северного потока». Теперь, чтобы Siemens могла ввезти турбину в Россию, «Газпром» должен изменить базис доставки машины с канадского Монреаля на конечный пункт в РФ. Из-за бумажных проволочек турбина уже пропустила паром, которым должна была уйти из Германии в Хельсинки 23 июля. Если стороны успешно обменяются документами, транспортировка машины может произойти в ближайшие несколько дней. Но источники “Ъ” сомневаются, что доставка турбины приведет к росту прокачки по «Северному потоку»: еще несколько машин нуждаются в ремонте.	-0.032258064516129004	2022-07-24	GAZP	193.02	192.9	-0.06216972334473347	[-0.03225806]	2.021445546758086	2.021445558182325
Транзит газа перешел в режим спецоперации // Контракт «Газпрома» с Украиной может развалиться	Объявленный Украиной форс-мажор по транзиту российского газа через пункт Сохрановка ставит вопрос о том, продолжит ли «Газпром» платить Киеву за транзит в полном объеме. По условиям контракта «Газпром» обязан платить Украине за мощности по прокачке 109,5 млн кубометров в сутки, но теперь компания не может воспользоваться 30% забронированных мощностей. Глава «Нафтогаза Украины» Юрий Витренко заявил, что «Газпром» все равно должен платить за транзит полностью.	-0.9285714285714286	2022-05-11	GAZP	239.8	241.99	0.9132610508757287	[-0.92857143]	-9.576213674298781	-9.576213657686221
Трамп отказался возвращаться в Twitter после его покупки Маском	Экс-президент США Дональд Трамп отказался возвращаться в Twitter после покупки компании основателем Tesla и Space X Илоном Маском.	0.21212121212121215	2022-04-26	TWTR	50.92	51.95	2.022780832678714	[0.21212121]	5.1835400605618585	5.183540042183915
Тайваньский подрядчик Apple приостановил работу на двух заводах в Китае	Ранее в китайском Куньшане, где расположены заводы Foxconn, была зафиксирована новая вспышка COVID-19. В компании заверили, что приостановка работы не повлияет на производство продуктов Apple	-0.5757575757575757	2022-04-25	AAPL	161.77	158.84	-1.8112134511961469	[-0.57575757]	-5.0110526519415055	-5.0110526364433285
ТГК-1 не будет публиковать финотчетность по РСБУ за 1 полугодие	"ПАО ""ТГК-1"" приняло решение не публиковать финансовую отчетность по результатам первого полугодия 2022 года, говорится в сообщении компании."	-0.3333333333333333	2022-07-27	TGKA	0.008196	0.0081	-1.1713030746705784	[-0.41706628]	-1.8742548942481632	-2.9576998506208385
Суд в США отклонил иск Трампа к Twitter	Окружной судья штата Сан-Франциско Джеймс Донато отклонил иск бывшего президента США Дональда Трампа против Twitter, в котором оспаривалась блокировка аккаунта последнего, следует из письменного постановления судьи.	0.25	2022-05-07	TWTR	47.77	48.62	1.7793594306049703	[0.25]	5.673664710201443	5.673664738851198
Суд в Латвии разблокировал пять телеканалов холдинга «Газпром-медиа»	Решение суда касается телеканалов THT-Comedy, THT4 International, FRIDAY International, KHL TV и TNT Music. Теперь они могут продолжить работу в Латвии, однако регулятор обещал обжаловать вердикт	0.36000000000000004	2022-04-29	GAZP	242.06	245.43	1.392216805750642	[0.33384615]	7.096986692754797	6.758574469854472
Суд в Латвии разблокировал пять телеканалов холдинга «Газпром-Медиа»	Решение суда касается телеканалов THT-Comedy, THT4 International, FRIDAY International, KHL TV и TNT Music. Теперь они могут продолжить работу в Латвии, однако регулятор обещал обжаловать вердикт	0.3076923076923077	2022-04-29	GAZP	242.06	244.43	0.9790960918780487	[0.33384615]	6.420162253498657	6.758574469854472
Суд арестовал ответственного за покупку самолетов в «Аэрофлоте»	Задержан топ-менеджер «Аэрофлота» Михаил Минаев. Он возглавляет департамент планирования воздушных судов	-0.43999999999999995	2022-06-15	AFLT	25.94	25.86	-0.30840400925212735	[-0.44]	-3.254445907633232	-3.254445914921255
Суд Шри-Ланки снял запрет на вылет задержанного самолета «Аэрофлота»	Самолет «Аэрофлота» задержали в Коломбо по требованию лизинговой компании еще 2 июня, более 200 пассажиров тогда сняли с рейса. Воздешному судну разрешили вернуться в Россию	0.3170731707317073	2022-06-06	AFLT	25.92	26.74	3.1635802469135674	[0.31707317]	6.541543967855928	6.541543982708855
Суд Шри-Ланки запретил самолету «Аэрофлота» покидать страну	Airbus A330 компании «Аэрофлот» был задержан в международном аэропорту Бандаранаике накануне по требованию ирландской лизинговой компаниии. Суд Коломбо запретил самолету покидать страну до 16 июня	-0.9259259259259258	2022-06-03	AFLT	26.8	25.7	-4.104477611940303	[-0.15998604]	-9.541982746387443	0.3687361360474206
Спрос на оплату по QR вырос после прекращения работы Apple и Google Pay	Многие банки видят рост интереса магазинов и покупателей к платежам по QR-коду, в частности через систему ЦБ. «Китайский» способ оплаты набирает популярность в условиях, когда Apple Pay и Google Pay перестали работать в России	0.4090909090909091	2022-03-29	AAPL	175.62	178.1	1.4121398473977849	[0.40909091]	7.7321882386877	7.732188238511368
Спекулянты отыгрались на «Газпроме» // Акции монополии подозрительно рухнули и закономерно взлетели	Ожидания выплаты дивидендов по акциям «Газпрома» спровоцировали спекулятивную игру с этими ценными бумагами. В середине торговой сессии крупная заявка обвалила котировки почти на 13%, что даже развернуло индекс Московской биржи. Однако решение компании выплатить рекордные дивиденды вернуло котировки к максимальному значению с конца февраля. Эксперты отмечают, что причиной колебаний могла быть манипуляция либо ошибка трейдера, усиленная технической продажей большого объема бумаг. В ЦБ говорят о возможности начала расследования этой ситуации.	-0.3076923076923077	2022-05-26	GAZP	300	294.5	-1.8333333333333333	[-0.30769231]	-1.5424782083382906	-1.5424782214430177
Сотрудники «Аэрофлота» пожаловались на реформу техобслуживания самолетов	Сотрудники «Аэрофлота» пожаловались на реформу блока по техобслуживанию, состоящего из 2 тыс. человек, — специалисты опасаются сокращений. Перевозчик такой риск опровергает: в компании идет создание крупнейшего провайдера техуслуг	-0.5	2022-07-07	AFLT	28	27.2	-2.85714285714286	[-0.5]	-4.030803352662336	-4.030803345148137
"События предстоящего дня: ""Магнит"" опубликует финансовые результаты"	"В четверг, 28 июля, ""Магнит"" опубликует финансовые результаты за 2 квартал и 1 полугодие 2022 года. Чистая прибыль во 2 квартале 2021 года составила 12,1 млрд рублей, а выручка достигла 424,3 млрд рублей (+9,6% г/г).
O`KEY Group, в свою очередь, представит операционные результаты за 2 квартал и 1 полугодие 2022 год. Чистая розничная выручка O`KEY Group в 1 полугодии 2021 года выросла на 4% в годовом выражении до 87 698 млн рублей.
Еще завтра бумаги O`KEY торгуются последний день с дивидендами. Совет директоров компании одобрил выплату промежуточных дивидендов в размере 8,5 млн евро, или 0,03159 евро на одну обыкновенную акцию. Закрытие дивидендного реестра - 1 августа 2022 года.
Кроме того, завтра пройдет внеочередное общее собрание акционеров ТГК-14. Акционеры обсудят заключение договора с ""Промсвязьбанком"".
И последнее, но не менее значимое событие - заседание совета директоров МТС. Совет среди прочих вопросов рассмотрит тему организационных изменений компании."	0.5609756097560976	2022-07-27	MGNT	4521	4630	2.41097102410971	[0.56097561]	9.697468541144962	9.697468533810467
Смартфоны новых реалий // Китайский Realme потеснил Apple по продажам в России	Продажи смартфонов на российском рынке в апреле снизились, по данным ритейлеров, на 30%. При этом предпочтения пользователей сместились в сторону бюджетных моделей, в первую очередь китайских: в тройку лидеров вошел бренд Realme, вытеснив Apple на четвертое место. Китайская компания продолжает поставки в Россию и даже первой после начала военных действий на Украине планирует в ближайшее время анонс нового устройства. В целом рынок, по мнению аналитиков, вряд ли вернется к росту. Но поставки будут постепенно восстанавливаться, что приведет к определенному снижению цен.	0.6875	2022-05-12	AAPL	141.9	146.15	2.9950669485553205	[0.6875]	11.33460441353865	11.334604409134911
Следствие назвало причину смерти бывшего топ-менеджера ЛУКОЙЛа	Тело бывшего топ-менеджера ЛУКОЙЛа Александра Субботина обнаружили 8 мая в частном доме в Мытищах. Он умер от сердечной недостаточности. Сообщалось, что хозяин дома — шаман, проводивший ритуал вуду	-0.7297297297297298	2022-05-11	LKOH	4550	4362.5	-4.1208791208791204	[-0.72972973]	-7.003343119665657	-7.003343156033698
Сжижай отечественным // НОВАТЭК планирует новый СПГ-завод на российском оборудовании	НОВАТЭК на фоне санкций ЕС, запретивших поставку оборудования для сжижения газа, планирует построить СПГ-завод мощностью 5 млн тонн по российской технологии. Как сообщил глава компании Леонид Михельсон, уже начаты предпроектные работы. Пока не ясно, о какой ресурсной базе идет речь, но ранее аналогичная мощность заявлялась для проекта «Обского СПГ».	0.75	2022-05-25	NVTK	949.8	977.4	2.9058749210360104	[0.00368397]	12.14331008544396	2.4865099749099393
Сеть магазинов re:Store подтвердила, что завезла технику Apple в июне	В сети магазинов re: Store, которая продает технику Apple, сообщили РБК, что у нее в продаже есть продукция американской компани, поступившая на склады в июне, когда в России был разрешен параллельный импорт.	0.5416666666666667	2022-07-05	AAPL	141.61	143.74	1.5041310641903787	[0.54166666]	9.447624512426248	9.447624384937459
Сеть re:Store подтвердила завоз техники после остановки поставок Apple	MacBook и iPhone поступили на склады в июне, хотя Apple объявила о приостановке продаж 1 марта	0.5789473684210527	2022-07-05	AAPL	141.61	143.98	1.6736106207188586	[0.57894738]	9.930010351808363	9.930010453407327
Серверам предложили единое окно // «Ростелеком» хочет консолидировать поставки техники госсектору	“Ъ” узнал, что «Ростелеком» предложил назначить свою структуру единственным поставщиком вычислительной техники (серверов и СХД) для российского рынка и создать таким образом «единое окно» для закупок. Речь может идти о поставках не только ведомствам, но и коммерческим компаниям. По данным “Ъ”, идея обсуждается, но ее резко критикуют другие российские IT-интеграторы и не поддерживают в Минцифры.	0.631578947368421	2022-05-13	RTKM	58.49	58.77	0.47871431013848714	[0.63157895]	10.611025654465472	10.61102563793068
Сбербанк, Россельхозбанк и МКБ отключат от SWIFT 14 июня	Международная система передачи межбанковской информации SWIFT с 14 июня прекращает обслуживание трех российских банков, которые в рамках шестого пакета санкций решил отключить от этой системы Евросоюз.	-0.8333333333333333	2022-06-14	CBOM	5.198	5.094	-2.0007695267410557	[-0.83333333]	-8.343900269490682	-8.343900284210331
Санкции многогазового использования // Российское эмбарго ударило по «Газпрому» и НОВАТЭКу	РФ фактически начала вводить поэтапное эмбарго на поставки газа в ЕС: из-за принятых Россией санкций «Газпром» больше не будет поставлять газ в Германию по трубопроводу Ямал—Европа, а также снабжать свои бывшие сбытовые предприятия в стране. Но формулировки контрсанкций обернулись и против самой России. Теперь НОВАТЭК, возможно, не сумеет продать 3 млн тонн СПГ в год «Газпрому», а сам «Газпром» — до 1 млн тонн с проекта «Сахалин-2».	-0.5789473684210527	2022-05-12	GAZP	241.89	230.56	-4.683947248749425	[-0.57894737]	-5.0523263066479975	-5.052326306383717
США расширили санкции против АЛРОСА	Помимо этого под санкции попала Объединенная судостроительная корпорация. Обе компании подпадают под действие указа, предусматривающего блокировку активов	-0.6875	2022-04-08	ALRS	89.49	82.53	-7.777405296681186	[-0.6875]	-6.456920368378282	-6.456920398823484
США ограничили использование вакцины Johnson & Johnson от COVID-19	В Соединенных Штата ограничили использование вакцины Johnson & Johnson от COVID-19 из-за риска образования тромбов.	-0.35294117647058826	2022-05-06	JNJ	176.5	174.92	-0.8951841359773443	[-0.35294118]	-2.1279664775910065	-2.1279665136604455
США ввели экспортные санкции против «Аэрофлота», Utair и Azur Air	Министерство торговли США лишил на 180 дней экспортных привилегий три российские авиакомпании: «Аэрофлот», Utair и Azur Air.	-0.6551724137931034	2022-04-07	AFLT	37.88	36.94	-2.4815205913410896	[-0.65517241]	-6.0386243311858765	-6.038624331196664
СПБ Биржа не исключила приостановку торгов бумагами иностранных эмитентов	СПБ Биржа предупредила о возможной приостановке торгов ценными бумагами иностранных эмитентов, сообщается на сайте учреждения.	-0.2592592592592593	2022-04-20	SPBE	309.2	297	-3.9456662354463092	[0.09315077]	-0.9157889127307532	3.644146919238941
СПБ Биржа в июне запустит торги акциями с Гонконгской биржи	СПБ Биржа начинает торги акциями компаний из Гонконга. С 20 июня инвесторам будут доступны 12 бумаг, но к концу года их число вырастет до 200. Расчеты будут идти в гонконгских долларах без участия европейских клиринговых компаний	0.7058823529411764	2022-06-16	SPBE	207.6	209.8	1.0597302504817039	[0.70588235]	11.572459022922562	11.572459046066257
СПБ Биржа анонсировала выплату дивидендов по иностранным акциям в августе	Дивиденды по иностранным бумагам, выплаченные компаниями в июне, поступят на счета инвесторов в августе, рассказал глава СПБ Биржи Роман Горюнов. Но деньги получат только держатели бумаг, размещенных на торговых счетах	0.5555555555555556	2022-07-06	SPBE	158.5	163.4	3.091482649842275	[0.55555556]	9.627336883960762	9.627336906458844
СДЭК сообщил о задержании посылок с хамоном в аэропорту Шереметьево	Сервис доставки грузов и документов СДЭК сообщил о нарушениях на таможне в аэропортах Москвы, а также на авиационном таможенном посту Центра электронного декларирования (ЦЭД).	-0.4482758620689655	2022-04-06	DVEC	1.414	1.32	-6.647807637906639	[-0.44827586]	-3.3615296931544894	-3.361529716695732
СДЭК объяснила задержки в доставке товаров «логистическим квестом»	Первая партия товаров, заказанных из-за границы через CDEK.Shopping, уже доставлена адресатам. Задержку в компании объяснили необходимостью срочно искать новые маршруты и схемы оплаты «в текущих реалиях»	-0.31578947368421056	2022-06-16	DVEC	0.963	0.948	-1.5576323987538954	[-0.31578947]	-1.6472497933624606	-1.6472498054698805
